Capacity,Occupancy,LastUpdated
577,61,2016-10-04 07:59:42
577,64,2016-10-04 08:25:42
577,80,2016-10-04 08:59:42
577,107,2016-10-04 09:32:46
577,150,2016-10-04 09:59:48
577,177,2016-10-04 10:26:49
577,219,2016-10-04 10:59:48
577,247,2016-10-04 11:25:47
577,259,2016-10-04 11:59:44
577,266,2016-10-04 12:29:45
577,269,2016-10-04 13:02:48
577,263,2016-10-04 13:29:45
577,238,2016-10-04 14:02:47
577,215,2016-10-04 14:29:49
577,192,2016-10-04 14:57:13
577,165,2016-10-04 15:30:14
577,162,2016-10-04 16:04:12
577,143,2016-10-04 16:31:14
577,54,2016-10-05 07:57:17
577,59,2016-10-05 08:30:15
577,71,2016-10-05 09:04:19
577,83,2016-10-05 09:30:15
577,114,2016-10-05 10:04:15
577,128,2016-10-05 10:30:17
577,148,2016-10-05 11:04:19
577,162,2016-10-05 11:30:18
577,178,2016-10-05 12:04:14
577,183,2016-10-05 12:30:16
577,175,2016-10-05 12:57:15
577,179,2016-10-05 13:30:19
577,174,2016-10-05 13:57:20
577,158,2016-10-05 14:30:17
577,145,2016-10-05 14:57:19
577,129,2016-10-05 15:30:15
577,121,2016-10-05 16:04:18
577,114,2016-10-05 16:30:17
577,58,2016-10-06 07:57:25
577,63,2016-10-06 08:30:20
577,70,2016-10-06 08:57:22
577,95,2016-10-06 09:30:20
577,135,2016-10-06 10:03:20
577,160,2016-10-06 10:30:20
577,177,2016-10-06 10:57:20
577,191,2016-10-06 11:30:22
577,199,2016-10-06 12:04:24
577,206,2016-10-06 12:30:24
577,198,2016-10-06 12:57:21
577,208,2016-10-06 13:30:21
577,200,2016-10-06 13:57:22
577,175,2016-10-06 14:30:23
577,158,2016-10-06 15:04:22
577,153,2016-10-06 15:31:22
577,135,2016-10-06 16:04:23
577,129,2016-10-06 16:30:27
577,58,2016-10-07 08:03:27
577,61,2016-10-07 08:30:27
577,75,2016-10-07 09:04:13
577,103,2016-10-07 09:30:27
577,128,2016-10-07 09:57:27
577,172,2016-10-07 10:30:27
577,188,2016-10-07 10:57:30
577,199,2016-10-07 11:30:28
577,210,2016-10-07 12:03:29
577,206,2016-10-07 12:30:28
577,200,2016-10-07 13:04:28
577,201,2016-10-07 13:30:29
577,193,2016-10-07 14:03:28
577,181,2016-10-07 14:30:32
577,172,2016-10-07 15:04:30
577,159,2016-10-07 15:30:32
577,158,2016-10-07 15:57:31
577,132,2016-10-07 16:30:29
577,58,2016-10-08 07:57:38
577,61,2016-10-08 08:30:37
577,75,2016-10-08 08:57:34
577,104,2016-10-08 09:30:37
577,158,2016-10-08 10:04:34
577,191,2016-10-08 10:30:34
577,223,2016-10-08 10:57:34
577,254,2016-10-08 11:30:38
577,306,2016-10-08 12:04:34
577,320,2016-10-08 12:30:36
577,348,2016-10-08 13:04:39
577,357,2016-10-08 13:30:36
577,395,2016-10-08 14:03:38
577,400,2016-10-08 14:30:35
577,395,2016-10-08 14:57:41
